Date,Start Time,End Time,kWh,Rate (Peak),Running kWh,Rate (Tiered)
2020-12-21,00:00:00,01:00:00,0.290,0.27,0.29,0.22
2020-12-21,01:00:00,02:00:00,0.240,0.27,0.53,0.22
2020-12-21,02:00:00,03:00:00,0.330,0.27,0.86,0.22
2020-12-21,03:00:00,04:00:00,0.310,0.27,1.17,0.22
2020-12-21,04:00:00,05:00:00,0.310,0.27,1.48,0.22
2020-12-21,05:00:00,06:00:00,0.350,0.27,1.83,0.22
2020-12-21,06:00:00,07:00:00,0.250,0.27,2.08,0.22
2020-12-21,07:00:00,08:00:00,0.450,0.27,2.53,0.22
2020-12-21,08:00:00,09:00:00,0.870,0.25,3.4,0.22
2020-12-21,09:00:00,10:00:00,0.860,0.25,4.26,0.22
2020-12-21,10:00:00,11:00:00,0.680,0.25,4.94,0.22
2020-12-21,11:00:00,12:00:00,0.830,0.25,5.77,0.22
2020-12-21,12:00:00,13:00:00,0.810,0.25,6.58,0.22
2020-12-21,13:00:00,14:00:00,0.740,0.25,7.32,0.22
2020-12-21,14:00:00,15:00:00,0.760,0.25,8.08,0.22
2020-12-21,15:00:00,16:00:00,0.630,0.25,8.71,0.22
2020-12-21,16:00:00,17:00:00,0.590,0.36,9.3,0.22
2020-12-21,17:00:00,18:00:00,0.480,0.36,9.78,0.22
2020-12-21,18:00:00,19:00:00,0.700,0.36,10.48,0.22
2020-12-21,19:00:00,20:00:00,1.550,0.36,12.03,0.22
2020-12-21,20:00:00,21:00:00,1.190,0.36,13.22,0.22
2020-12-21,21:00:00,22:00:00,0.550,0.27,13.77,0.22
2020-12-21,22:00:00,23:00:00,0.410,0.27,14.18,0.22
2020-12-21,23:00:00,00:00:00,0.400,0.27,14.58,0.247
2020-12-22,00:00:00,01:00:00,0.240,0.27,0.24,0.22
2020-12-22,01:00:00,02:00:00,0.270,0.27,0.51,0.22
2020-12-22,02:00:00,03:00:00,0.290,0.27,0.8,0.22
2020-12-22,03:00:00,04:00:00,0.220,0.27,1.02,0.22
2020-12-22,04:00:00,05:00:00,0.310,0.27,1.33,0.22
2020-12-22,05:00:00,06:00:00,0.270,0.27,1.6,0.22
2020-12-22,06:00:00,07:00:00,0.400,0.27,2.0,0.22
2020-12-22,07:00:00,08:00:00,0.490,0.27,2.49,0.22
2020-12-22,08:00:00,09:00:00,0.740,0.25,3.23,0.22
2020-12-22,09:00:00,10:00:00,0.750,0.25,3.98,0.22
2020-12-22,10:00:00,11:00:00,0.620,0.25,4.6,0.22
2020-12-22,11:00:00,12:00:00,0.520,0.25,5.12,0.22
2020-12-22,12:00:00,13:00:00,0.560,0.25,5.68,0.22
2020-12-22,13:00:00,14:00:00,0.540,0.25,6.22,0.22
2020-12-22,14:00:00,15:00:00,0.590,0.25,6.81,0.22
2020-12-22,15:00:00,16:00:00,0.550,0.25,7.36,0.22
2020-12-22,16:00:00,17:00:00,0.540,0.36,7.9,0.22
2020-12-22,17:00:00,18:00:00,0.690,0.36,8.59,0.22
2020-12-22,18:00:00,19:00:00,0.610,0.36,9.2,0.22
2020-12-22,19:00:00,20:00:00,0.680,0.36,9.88,0.22
2020-12-22,20:00:00,21:00:00,0.740,0.36,10.62,0.22
2020-12-22,21:00:00,22:00:00,0.480,0.27,11.1,0.22
2020-12-22,22:00:00,23:00:00,0.610,0.27,11.71,0.22
2020-12-22,23:00:00,00:00:00,0.460,0.27,12.17,0.22
2020-12-23,00:00:00,01:00:00,0.300,0.27,0.3,0.22
2020-12-23,01:00:00,02:00:00,0.410,0.27,0.71,0.22
2020-12-23,02:00:00,03:00:00,0.260,0.27,0.97,0.22
2020-12-23,03:00:00,04:00:00,0.390,0.27,1.36,0.22
2020-12-23,04:00:00,05:00:00,0.380,0.27,1.74,0.22
2020-12-23,05:00:00,06:00:00,0.370,0.27,2.11,0.22
2020-12-23,06:00:00,07:00:00,0.420,0.27,2.53,0.22
2020-12-23,07:00:00,08:00:00,0.330,0.27,2.86,0.22
2020-12-23,08:00:00,09:00:00,0.610,0.25,3.47,0.22
2020-12-23,09:00:00,10:00:00,0.660,0.25,4.13,0.22
2020-12-23,10:00:00,11:00:00,0.750,0.25,4.88,0.22
2020-12-23,11:00:00,12:00:00,0.580,0.25,5.46,0.22
2020-12-23,12:00:00,13:00:00,0.780,0.25,6.24,0.22
2020-12-23,13:00:00,14:00:00,0.640,0.25,6.88,0.22
2020-12-23,14:00:00,15:00:00,0.880,0.25,7.76,0.22
2020-12-23,15:00:00,16:00:00,1.090,0.25,8.85,0.22
2020-12-23,16:00:00,17:00:00,0.990,0.36,9.84,0.22
2020-12-23,17:00:00,18:00:00,1.130,0.36,10.97,0.22
2020-12-23,18:00:00,19:00:00,1.530,0.36,12.5,0.22
2020-12-23,19:00:00,20:00:00,1.470,0.36,13.97,0.22
2020-12-23,20:00:00,21:00:00,1.090,0.36,15.06,0.256
